ACCT#  SSN           PREVBAL  DEPOSITS  WITHDRAWALS   MAXDEP  MAXWDRAW     INTEREST   PENALTY    NEWBAL
------------------------------------------------------------------------------------------------------
115    139-28-4313   1056.30   2053.05      -754.64    0.00       0.00         0.00    0.00    2355.00
135    706-02-6945    -99.06   2706.08      -484.24    0.00       0.00         0.00    0.00    2123.00
143    595-74-5767   4289.07   5757.09         0.00    0.00       0.00       200.92    0.00   10046.00
155    972-87-1379   3300.26  13203.64         0.00    0.00       0.00       330.06    0.00   16503.00
162    814-50-7178   3571.94      0.00     -1763.36    0.00       0.00         0.00    0.00    1808.00
182    632-72-6766   3516.77   2879.25      -871.02    0.00       0.00       110.48    0.00    5524.00
191    699-77-2796   2565.29   2112.17      -362.88    0.00       0.00        86.30    0.00    4315.00
192    814-77-4491   3347.81   2695.03     -2206.90    0.00       0.00        76.72    0.00    3836.00
208    265-40-8305   1446.72    934.60     -1401.80    0.00       0.00         0.00    0.00     979.00
211    940-32-8944   4153.07      0.00      -804.57    0.00       0.00        66.98    0.00    3349.00
214    400-19-8435   2501.14   6431.06         0.00    0.00       0.00       178.64    0.00    8932.00
219    794-00-0659   3356.98   2828.58     -1247.20    0.00       0.00        98.74    0.00    4937.00
220    909-38-6694   4496.73   2269.58      -800.08    0.00       0.00       119.30    0.00    5965.00
229    495-33-4989   2348.31   2843.24      -149.29    0.00       0.00       100.84    0.00    5042.00
238    353-78-2979   3960.09   3129.04     -1335.15    0.00       0.00       115.08    0.00    5754.00
249    169-57-3539   3927.39   3444.99      -964.94    0.00       0.00       128.14    0.00    6407.00
264    713-79-2241   4938.17   6140.85     -2458.30    0.00       0.00       172.40    0.00    8620.00
266    016-92-4542   3436.31      0.00      -510.36    0.00       0.00         0.00    0.00    2926.00
271    302-52-0390    -89.25   2257.32         0.00    0.00       0.00         0.00    0.00    2168.00
276    050-44-5987  27899.48   5777.94      -900.58    0.00       0.00       655.52    0.00   32776.00
282    430-00-7434   2155.40   8497.98      -357.51    0.00       0.00       205.90    0.00   10295.00
300    935-88-9835   4690.44   9131.13         0.00    0.00       0.00       276.42    0.00   13821.00
301    008-41-1683   4120.56   2462.46         0.00    0.00       0.00       131.64    0.00    6582.00
314    262-24-2379   2977.82   4541.78      -125.18    0.00       0.00       147.86    0.00    7393.00
332    059-96-0121   1164.89   1200.30         0.00    0.00       0.00         0.00    0.00    2364.00
341    541-30-5692   2549.50      0.00     -1083.32    0.00       0.00         0.00    0.00    1466.00
356    246-75-8770   2389.04   6596.03         0.00    0.00       0.00       179.70    0.00    8985.00
361    484-86-7987   4031.13      0.00         0.00    0.00       0.00        80.62    0.00    4031.00
376    921-96-7973   3684.93   2054.66         0.00    0.00       0.00       114.76    0.00    5738.00
379    602-90-2297   2318.76   2338.82      -756.21    0.00       0.00        78.00    0.00    3900.00
380    881-80-3386   3622.22   9034.25     -1404.42    0.00       0.00       225.04    0.00   11252.00
395    645-86-7907  10640.25   8647.67      -772.28    0.00       0.00       370.30    0.00   18515.00
415    887-60-6792   1835.59   1161.71         0.00    0.00       0.00         0.00    0.00    2996.00
431    973-40-7961   3540.63      0.00     -2322.10    0.00       0.00         0.00    0.00    1218.00
439    024-13-2629   2754.91      0.00         0.00    0.00       0.00         0.00    0.00    2754.00
447    992-07-5363    410.49   1651.82         0.00    0.00       0.00         0.00    0.00    2061.00
466    845-40-4968   2906.13   9527.51     -2099.85    0.00       0.00       206.68    0.00   10334.00
482    526-11-5286   2624.67   6434.12     -1634.88    0.00       0.00       148.48    0.00    7424.00
502    340-25-3417   2658.43   5222.30     -1749.97    0.00       0.00       122.62    0.00    6131.00
515    021-66-6171   2981.30   6989.41         0.00    0.00       0.00       199.40    0.00    9970.00
522    236-87-3487  37352.53   2637.24      -284.01    0.00       0.00       794.10    0.00   39705.00
532    918-00-7767  10376.87      0.00     -2310.35    0.00       0.00       161.32    0.00    8066.00
546    276-69-3568   2141.17   3260.36         0.00    0.00       0.00       108.02    0.00    5401.00
554    549-07-8738   -166.40   1776.57         0.00    0.00       0.00         0.00    0.00    1610.00
573    283-86-4227   1262.31   1942.26      -782.13    0.00       0.00         0.00    0.00    2422.00
